Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
2762,0,0,0,0,0,7.1
2763,0,0,0,0,0,6.7
2764,0,0,0,0,0,6.3
2765,0,0,0,0,0,6
2766,0,0,0,0,0,6.1
2767,0.04,0.04,0.036,0.074,0.021,7.5
2768,0.126,0.106,0.132,0.213,0.04,9.2
2769,0.215,0.163,0.242,0.309,0.096,11.1
2770,0.315,0.222,0.368,0.398,0.192,11.7
2771,0.423,0.278,0.506,0.474,0.31,12
2772,0.508,0.33,0.611,0.5,0.441,12.5
2773,0.593,0.393,0.705,0.51,0.588,13.6
2774,0.634,0.428,0.743,0.465,0.706,15.1
2775,0.596,0.418,0.682,0.354,0.746,16.9
2776,0.494,0.377,0.533,0.232,0.678,17.9
2777,0.381,0.321,0.381,0.146,0.606,18.1
2778,0.247,0.251,0.207,0.1,0.511,17.2
2779,0.106,0.15,0.065,0.065,0.297,16.2
2780,0.028,0.027,0.027,0.027,0.027,14.9
2781,0.003,0.003,0.003,0.003,0.003,13.7
2782,0,0,0,0,0,12.5
2783,0,0,0,0,0,11.2
2784,0,0,0,0,0,10
2785,0,0,0,0,0,9
2786,0,0,0,0,0,7.9
2787,0,0,0,0,0,7.4
2788,0,0,0,0,0,6.8
2789,0,0,0,0,0,6.3
2790,0,0,0,0,0,6.4
2791,0.075,0.078,0.065,0.18,0.019,6.5
2792,0.242,0.198,0.254,0.436,0.048,7.3
2793,0.389,0.282,0.441,0.578,0.145,8.5
2794,0.504,0.343,0.586,0.637,0.292,9.1
2795,0.543,0.365,0.641,0.602,0.404,10.9
2796,0.485,0.345,0.555,0.472,0.428,10.9
2797,0.424,0.321,0.465,0.375,0.411,10.7
2798,0.4,0.309,0.433,0.323,0.419,10.1
2799,0.374,0.305,0.384,0.285,0.404,11.2
2800,0.351,0.29,0.354,0.23,0.415,12.3
2801,0.29,0.253,0.283,0.161,0.4,13
2802,0.186,0.18,0.161,0.114,0.292,13
2803,0.084,0.131,0.048,0.048,0.271,12.5
2804,0.027,0.026,0.026,0.026,0.026,11.6
2805,0.002,0.002,0.002,0.002,0.002,10.6
2806,0,0,0,0,0,9.6
2807,0,0,0,0,0,8.7
2808,0,0,0,0,0,7.8
